library,file,isa_bucket,loc,ifdef_count
hnswlib,space_l2.h,Scalar,97,8
hnswlib,space_l2.h,SSE,71,8
hnswlib,space_l2.h,AVX/AVX2,29,8
hnswlib,space_l2.h,AVX-512,28,8
hnswlib,space_l2.h,shared,20,8
hnswlib,space_ip.h,Scalar,36,10
hnswlib,space_ip.h,SSE,89,10
hnswlib,space_ip.h,AVX/AVX2,77,10
hnswlib,space_ip.h,AVX-512,53,10
hnswlib,space_ip.h,shared,34,10
hnswlib,hnswlib.h,Scalar,72,9
hnswlib,hnswlib.h,shared,39,9
hnswlib,hnswlib.h,other,6,9
hnswlib,hnswlib.h,else:other,8,9
FAISS,distances_simd.cpp,NONE (scalar),134,1
FAISS,distances_autovec-inl.h,shared template,259,1
FAISS,distances_sse-inl.h,SSE helpers,326,0
FAISS,distances_avx2.cpp,AVX2,1010,1
FAISS,distances_avx512.cpp,AVX-512,817,0
FAISS,distances_aarch64.cpp,ARM NEON,131,1
FAISS,distances_arm_sve.cpp,ARM SVE,681,1
FAISS,simd_levels.cpp,ISA detection,244,18
