
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000614                       # Number of seconds simulated (Second)
simTicks                                    614395000                       # Number of ticks simulated (Tick)
finalTick                                   614395000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.61                       # Real time elapsed on the host (Second)
hostTickRate                                 52941094                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4350412                       # Number of bytes of host memory used (Byte)
simInsts                                       323553                       # Number of instructions simulated (Count)
simOps                                         323553                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    27877                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      27877                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           614396                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.898904                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.526620                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          350678                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       21                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         348322                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     32                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                27145                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             17057                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              582862                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.597606                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.235425                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    436069     74.82%     74.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     57762      9.91%     84.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     27200      4.67%     89.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     18005      3.09%     92.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     39659      6.80%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1906      0.33%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1948      0.33%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       213      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       100      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                582862                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      19      0.90%      0.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1134     53.64%     54.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     54.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     54.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     54.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.54% # attempts to use FU when none available (Count)
