
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000190                       # Number of seconds simulated (Second)
simTicks                                    190311000                       # Number of ticks simulated (Tick)
finalTick                                   190311000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.11                       # Real time elapsed on the host (Second)
hostTickRate                                 90195898                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4350416                       # Number of bytes of host memory used (Byte)
simInsts                                       126377                       # Number of instructions simulated (Count)
simOps                                         126377                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    59888                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      59887                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           190312                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.505907                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.664052                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          143040                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       26                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         139968                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     58                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                16688                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              9370                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              157992                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.885918                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.549531                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    106772     67.58%     67.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     15133      9.58%     77.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     10302      6.52%     83.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      8101      5.13%     88.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     11796      7.47%     96.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      3390      2.15%     98.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1793      1.13%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       604      0.38%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       101      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                157992                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      43      1.14%      1.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2544     67.53%     68.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     68.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     68.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     68.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     68.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     68.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     68.68% # attempts to use FU when none available (Count)
